"speed","friction","collider_position","trial_index","rt","color","mirror","response","participant_id","trial_type","correct_response"
"fast","high",10,193,12031,"purple","mirror","j","657e1a1580ea9","exp",1
"fast","high",10,132,1386,"tan",NA,"f","657e11e1938dd","exp",1
"fast","high",10,171,853,"pink",NA,"f","657e2967c5345","exp",1
"fast","high",10,28,2365,"white","mirror","f","657f6bfb51682","control1",1
"fast","high",10,142,2313,"teal","mirror","j","657e14c5630d9","exp",1
"fast","high",10,32,1818,"white",NA,"j","657e237cce8ca","control1",1
"fast","high",10,65,1455,"white",NA,"f","Inf","control1",1
"fast","high",10,429,1217,"tan",NA,"f","657e2dc92ea25","exp",1
"fast","high",10,173,1069,"pink","mirror","f","657e2dc92ea25","exp",1
"fast","high",10,337,2338,"purple","mirror","f","657e1f4edabb8","exp",1
"fast","high",10,495,813,"white","mirror","j","657e237cce8ca","control2",1
"fast","high",10,339,1613,"teal",NA,"f","Inf","exp",1
"fast","high",10,369,1289,"pink","mirror","f","657e237cce8ca","exp",1
"fast","high",10,364,1457,"white","mirror","f","657e11e1938dd","control2",1
"fast","high",10,446,1446,"white",NA,"f","Inf","control2",1
"fast","high",10,516,1531,"white","mirror","f","657e2dc92ea25","control2",1
"fast","high",10,61,2721,"white","mirror","f","657e2967c5345","control1",1
"fast","high",10,417,953,"tan","mirror","f","657e2967c5345","exp",1
"fast","high",10,553,2144,"white","mirror","j","657f6bfb51682","control2",1
"fast","high",10,96,3029,"white","mirror","f","657e1a1580ea9","control1",1
"fast","high",10,109,1437,"purple","mirror","f","657e11e1938dd","exp",1
"fast","high",10,440,1352,"white","mirror","f","657e2967c5345","control2",1
"fast","high",10,148,2853,"teal","mirror","f","657f6bfb51682","exp",1
"fast","high",10,406,2032,"pink",NA,"f","657e1a1580ea9","exp",1
"fast","high",10,367,1452,"tan","mirror","f","Inf","exp",1
"fast","high",10,532,2123,"white","mirror","j","657e1f4edabb8","control2",1
"fast","high",10,549,1591,"white",NA,"f","657e1a1580ea9","control2",1
"fast","high",10,30,1910,"white",NA,"f","657e2dc92ea25","control1",1
"fast","high",10,408,1645,"tan",NA,"f","657e237cce8ca","exp",1
"fast","high",10,214,2392,"tan",NA,"j","657e14c5630d9","exp",1
"fast","high",10,320,1804,"tan",NA,"j","657f6bfb51682","exp",1
"fast","high",10,120,1124,"white","mirror","f","657e1f4edabb8","control1",1
"fast","high",10,436,3548,"white","mirror","j","657e14c5630d9","control2",1
"fast","high",10,396,914,"tan",NA,"f","657e1f4edabb8","exp",1
"fast","high",11,390,1565,"teal","mirror","f","657e2967c5345","exp",1
"fast","high",11,396,1595,"tan",NA,"f","Inf","exp",1
"fast","high",11,459,1910,"white","mirror","f","657e1a1580ea9","control2",1
"fast","high",11,551,1014,"white",NA,"f","657e237cce8ca","control2",1
"fast","high",11,530,1134,"white","mirror","j","657e1f4edabb8","control2",1
"fast","high",11,406,1275,"teal","mirror","f","657e2dc92ea25","exp",1
"fast","high",11,32,1376,"white",NA,"f","657e2dc92ea25","control1",1
"fast","high",11,175,1498,"purple","mirror","f","657e11e1938dd","exp",1
"fast","high",11,419,1319,"pink",NA,"f","657e2dc92ea25","exp",1
"fast","high",11,118,4171,"white","mirror","f","657e237cce8ca","control1",1
"fast","high",11,436,2644,"white","mirror","j","657f6bfb51682","control2",1
