"collider_position","model_prediction","friction","speed","noise"
4,1,"high","fast",0.1
8,1,"high","fast",0.1
10,1,"high","fast",0.1
11,0.7,"high","fast",0.1
12,0.266666666666667,"high","fast",0.1
13,0,"high","fast",0.1
15,0,"high","fast",0.1
17,0,"high","fast",0.1
6,1,"med","fast",0.1
11,1,"med","fast",0.1
13,0.833333333333333,"med","fast",0.1
14,0.533333333333333,"med","fast",0.1
15,0.166666666666667,"med","fast",0.1
16,0.0333333333333333,"med","fast",0.1
17,0,"med","fast",0.1
5,1,"low","fast",0.1
12,1,"low","fast",0.1
14,1,"low","fast",0.1
15,0.833333333333333,"low","fast",0.1
16,0.233333333333333,"low","fast",0.1
17,0.133333333333333,"low","fast",0.1
1,1,"high","med",0.1
3,1,"high","med",0.1
5,1,"high","med",0.1
6,0.9,"high","med",0.1
7,0.3,"high","med",0.1
8,0,"high","med",0.1
10,0,"high","med",0.1
13,0,"high","med",0.1
1,1,"med","med",0.1
4,1,"med","med",0.1
6,1,"med","med",0.1
7,0.966666666666667,"med","med",0.1
8,0.4,"med","med",0.1
9,0,"med","med",0.1
11,0,"med","med",0.1
14,0,"med","med",0.1
2,1,"low","med",0.1
5,1,"low","med",0.1
7,1,"low","med",0.1
8,0.966666666666667,"low","med",0.1
9,0.233333333333333,"low","med",0.1
10,0.0333333333333333,"low","med",0.1
12,0,"low","med",0.1
16,0,"low","med",0.1
1,1,"high","slow",0.1
2,1,"high","slow",0.1
3,0.4,"high","slow",0.1
4,0,"high","slow",0.1
6,0,"high","slow",0.1
13,0,"high","slow",0.1
1,1,"med","slow",0.1
2,1,"med","slow",0.1
3,1,"med","slow",0.1
4,0,"med","slow",0.1
5,0,"med","slow",0.1
7,0,"med","slow",0.1
10,0,"med","slow",0.1
1,1,"low","slow",0.1
2,1,"low","slow",0.1
3,1,"low","slow",0.1
4,0.0333333333333333,"low","slow",0.1
5,0,"low","slow",0.1
7,0,"low","slow",0.1
12,0,"low","slow",0.1
