collider_position,model_prediction,friction,speed,fr_noise,vel_noise
1,1.0,high,slow,0.1,0.05
2,0.9666666666666667,high,slow,0.1,0.05
3,0.43333333333333335,high,slow,0.1,0.05
4,0.0,high,slow,0.1,0.05
6,0.0,high,slow,0.1,0.05
13,0.0,high,slow,0.1,0.05
1,1.0,med,slow,0.1,0.05
2,0.9666666666666667,med,slow,0.1,0.05
3,0.8,med,slow,0.1,0.05
4,0.1,med,slow,0.1,0.05
5,0.0,med,slow,0.1,0.05
7,0.0,med,slow,0.1,0.05
10,0.0,med,slow,0.1,0.05
1,1.0,low,slow,0.1,0.05
2,1.0,low,slow,0.1,0.05
3,0.8666666666666667,low,slow,0.1,0.05
4,0.26666666666666666,low,slow,0.1,0.05
5,0.0,low,slow,0.1,0.05
7,0.0,low,slow,0.1,0.05
12,0.0,low,slow,0.1,0.05
1,1.0,high,med,0.1,0.05
3,1.0,high,med,0.1,0.05
5,0.9666666666666667,high,med,0.1,0.05
6,0.8,high,med,0.1,0.05
7,0.3333333333333333,high,med,0.1,0.05
8,0.06666666666666667,high,med,0.1,0.05
10,0.0,high,med,0.1,0.05
13,0.0,high,med,0.1,0.05
1,1.0,med,med,0.1,0.05
4,1.0,med,med,0.1,0.05
6,0.9333333333333333,med,med,0.1,0.05
7,0.8333333333333334,med,med,0.1,0.05
8,0.4,med,med,0.1,0.05
9,0.2,med,med,0.1,0.05
11,0.0,med,med,0.1,0.05
14,0.0,med,med,0.1,0.05
2,1.0,low,med,0.1,0.05
5,1.0,low,med,0.1,0.05
7,0.9,low,med,0.1,0.05
8,0.7666666666666667,low,med,0.1,0.05
9,0.26666666666666666,low,med,0.1,0.05
10,0.1,low,med,0.1,0.05
12,0.0,low,med,0.1,0.05
16,0.0,low,med,0.1,0.05
4,1.0,high,fast,0.1,0.05
8,1.0,high,fast,0.1,0.05
10,0.8666666666666667,high,fast,0.1,0.05
11,0.7333333333333333,high,fast,0.1,0.05
12,0.23333333333333334,high,fast,0.1,0.05
13,0.13333333333333333,high,fast,0.1,0.05
15,0.0,high,fast,0.1,0.05
17,0.0,high,fast,0.1,0.05
6,1.0,med,fast,0.1,0.05
11,1.0,med,fast,0.1,0.05
13,0.6333333333333333,med,fast,0.1,0.05
14,0.5666666666666667,med,fast,0.1,0.05
15,0.36666666666666664,med,fast,0.1,0.05
16,0.23333333333333334,med,fast,0.1,0.05
17,0.03333333333333333,med,fast,0.1,0.05
5,1.0,low,fast,0.1,0.05
12,1.0,low,fast,0.1,0.05
14,0.8,low,fast,0.1,0.05
15,0.6333333333333333,low,fast,0.1,0.05
16,0.3,low,fast,0.1,0.05
17,0.13333333333333333,low,fast,0.1,0.05
