"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1116","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","71299","0.0-1.0","70182","Welcome to the experiment. Press any key to begin."," ","",""
"","","","","","html-keyboard-response","2","116524","0.0-2.0","45223","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      "," ","",""
"","","","","","html-keyboard-response","3","118531","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","120099","0.0-3.0-1.0","1564","[""videos/fast_low_c12_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","5","120601","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","122121","0.0-3.0-1.1","1520","[""videos/slow_med_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","7","122877","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","124237","0.0-3.0-1.2","1359","[""videos/med_high_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","9","124739","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","126088","0.0-3.0-1.3","1347","[""videos/slow_high_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","11","126590","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","127780","0.0-3.0-1.4","1188","[""videos/slow_low_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","13","131108","0.0-4.0","3328","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","14","132110","0.0-5.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","15","133252","0.0-5.0-1.0","1140","[""videos/slow_med_c5_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","16","134005","0.0-5.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","17","135548","0.0-5.0-1.1","1542","[""videos/med_med_c6_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","18","136300","0.0-5.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
