"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1109","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","9341","0.0-1.0","8231","Welcome to the experiment. Press any key to begin.","arrowdown","",""
"","","","","","html-keyboard-response","2","17894","0.0-2.0","8552","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      ","j","",""
"","","","","","html-keyboard-response","3","19899","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","24650","0.0-3.0-1.0","4749","[""videos/slow_high_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","5","25652","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","27130","0.0-3.0-1.1","1477","[""videos/fast_low_c15_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","7","27883","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","29292","0.0-3.0-1.2","1408","[""videos/slow_med_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","9","30295","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","31657","0.0-3.0-1.3","1361","[""videos/med_med_c14_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","11","32409","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
