"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1147","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","145547","0.0-1.0","144396","Welcome to the experiment. Press any key to begin."," ","",""
"","","","","","html-keyboard-response","2","172263","0.0-2.0","26716","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      "," ","",""
"","","","","","html-keyboard-response","3","174519","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","177130","0.0-3.0-1.0","2609","[""videos/med_med_c11_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","5","177882","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","182708","0.0-3.0-1.1","4824","[""videos/med_high_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","7","183461","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","186750","0.0-3.0-1.2","3288","[""videos/slow_low_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","9","187503","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","188991","0.0-3.0-1.3","1486","[""videos/slow_med_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","11","189743","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","191467","0.0-3.0-1.4","1723","[""videos/slow_high_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","13","192219","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","14","194513","0.0-3.0-1.5","2293","[""videos/med_high_c6_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","15","195015","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","16","197188","0.0-3.0-1.6","2171","[""videos/med_low_c9_white_mirror.mov""]","f","response","false"
