"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1381","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","508240","0.0-1.0","260998","Welcome to the experiment. Press any key to begin.","arrowright","",""
"","","","","","html-keyboard-response","2","607476","0.0-2.0","99233","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      ","arrowright","",""
"","","","","","html-keyboard-response","3","609481","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","612046","0.0-3.0-1.0","2563","[""videos/fast_med_c6_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","5","612548","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","616074","0.0-3.0-1.1","3525","[""videos/fast_low_c5_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","7","616577","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","618103","0.0-3.0-1.2","1525","[""videos/slow_high_c4_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","9","618605","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","620143","0.0-3.0-1.3","1536","[""videos/slow_med_c5_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","11","620895","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","622462","0.0-3.0-1.4","1565","[""videos/med_low_c10_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","13","623465","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","14","624855","0.0-3.0-1.5","1389","[""videos/slow_med_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","15","625608","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","16","626907","0.0-3.0-1.6","1298","[""videos/fast_high_c12_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","17","627909","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","18","629522","0.0-3.0-1.7","1611","[""videos/med_low_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","19","630023","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","20","631539","0.0-3.0-1.8","1514","[""videos/slow_high_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","21","632040","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","22","633289","0.0-3.0-1.9","1248","[""videos/fast_high_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","23","633790","0.0-3.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","24","635091","0.0-3.0-1.10","1299","[""videos/med_low_c9_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","25","636092","0.0-3.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","26","637509","0.0-3.0-1.11","1415","[""videos/fast_low_c17_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","27","638510","0.0-3.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","28","640707","0.0-3.0-1.12","2195","[""videos/slow_high_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","29","641460","0.0-3.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","30","643004","0.0-3.0-1.13","1543","[""videos/med_med_c6_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","31","643506","0.0-3.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","32","645083","0.0-3.0-1.14","1576","[""videos/fast_low_c16_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","33","646086","0.0-3.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","34","647370","0.0-3.0-1.15","1282","[""videos/fast_high_c13_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","35","647871","0.0-3.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","36","649385","0.0-3.0-1.16","1513","[""videos/med_low_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","37","650388","0.0-3.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","38","651693","0.0-3.0-1.17","1304","[""videos/med_low_c5_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","39","652696","0.0-3.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","40","654123","0.0-3.0-1.18","1426","[""videos/fast_low_c15_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","41","654874","0.0-3.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","42","656392","0.0-3.0-1.19","1516","[""videos/fast_high_c17_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","43","662246","0.0-3.0-2.19-0.19","5853","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","44","663246","0.0-3.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","45","664339","0.0-3.0-1.20","1091","[""videos/fast_med_c11_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","46","665091","0.0-3.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","47","666306","0.0-3.0-1.21","1213","[""videos/slow_med_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","48","667058","0.0-3.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","49","668428","0.0-3.0-1.22","1368","[""videos/med_med_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","50","669430","0.0-3.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","51","670891","0.0-3.0-1.23","1459","[""videos/med_low_c12_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","52","671391","0.0-3.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","53","672625","0.0-3.0-1.24","1232","[""videos/med_high_c13_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","54","673626","0.0-3.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","55","674596","0.0-3.0-1.25","968","[""videos/med_med_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","56","675348","0.0-3.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","57","676355","0.0-3.0-1.26","1006","[""videos/slow_low_c3_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","58","677107","0.0-3.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","59","678306","0.0-3.0-1.27","1198","[""videos/slow_high_c6_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","60","679308","0.0-3.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","61","680699","0.0-3.0-1.28","1389","[""videos/med_high_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","62","681201","0.0-3.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","63","682534","0.0-3.0-1.29","1332","[""videos/med_med_c11_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","64","683036","0.0-3.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","65","684458","0.0-3.0-1.30","1421","[""videos/med_high_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","66","684959","0.0-3.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","67","686220","0.0-3.0-1.31","1260","[""videos/med_high_c1_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","68","686722","0.0-3.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","69","689463","0.0-3.0-1.32","2740","[""videos/fast_low_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","70","690466","0.0-3.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","71","691867","0.0-3.0-1.33","1399","[""videos/med_high_c8_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","72","692368","0.0-3.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","73","694590","0.0-3.0-1.34","2220","[""videos/slow_med_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","74","695091","0.0-3.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","75","696556","0.0-3.0-1.35","1463","[""videos/fast_high_c15_white.mov""]","j","response","false"
