"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1228","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","8776","0.0-1.0","7546","Welcome to the experiment. Press any key to begin."," ","",""
"","","","","","html-keyboard-response","2","28462","0.0-2.0","19685","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      "," ","",""
"","","","","","html-keyboard-response","3","30466","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","32780","0.0-3.0-1.0","2313","[""videos/fast_med_c11_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","5","33282","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","35135","0.0-3.0-1.1","1852","[""videos/fast_low_c17_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","7","35887","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","38424","0.0-3.0-1.2","2535","[""videos/med_low_c9_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","9","39177","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","42112","0.0-3.0-1.3","2934","[""videos/med_med_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","11","42863","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","44662","0.0-3.0-1.4","1798","[""videos/med_high_c8_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","13","45664","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
