"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1238","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","19946","0.0-1.0","18706","Welcome to the experiment. Press any key to begin."," ","",""
"","","","","","html-keyboard-response","2","51630","0.0-2.0","31683","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      "," ","",""
"","","","","","html-keyboard-response","3","53633","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","55214","0.0-3.0-1.0","1579","[""videos/slow_med_c7_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","5","55966","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","57489","0.0-3.0-1.1","1521","[""videos/slow_low_c5_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","7","58491","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","59714","0.0-3.0-1.2","1222","[""videos/med_med_c8_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","9","60716","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","62196","0.0-3.0-1.3","1479","[""videos/fast_med_c16_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","11","62698","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","64115","0.0-3.0-1.4","1416","[""videos/slow_high_c6_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","13","65117","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","14","66559","0.0-3.0-1.5","1441","[""videos/fast_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","15","67061","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","16","68505","0.0-3.0-1.6","1442","[""videos/fast_low_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","17","69005","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","18","70650","0.0-3.0-1.7","1643","[""videos/fast_high_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","19","71652","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","20","73196","0.0-3.0-1.8","1543","[""videos/med_low_c9_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","21","73948","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","22","75277","0.0-3.0-1.9","1328","[""videos/med_high_c1_white.mov""]","f","response","false"
