"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1123","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","29011","0.0-1.0","27886","Welcome to the experiment. Press any key to begin."," ","",""
"","","","","","html-keyboard-response","2","58383","0.0-2.0","29371","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      "," ","",""
"","","","","","html-keyboard-response","3","60639","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","62471","0.0-3.0-1.0","1830","[""videos/med_low_c8_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","5","62972","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","64734","0.0-3.0-1.1","1761","[""videos/fast_high_c17_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","7","65486","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","67211","0.0-3.0-1.2","1723","[""videos/fast_low_c14_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","9","67963","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","69503","0.0-3.0-1.3","1538","[""videos/med_low_c16_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","11","70505","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","71751","0.0-3.0-1.4","1245","[""videos/fast_low_c15_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","13","72504","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","14","73359","0.0-3.0-1.5","854","[""videos/fast_med_c15_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","15","73861","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","16","74878","0.0-3.0-1.6","1016","[""videos/med_high_c6_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","17","75880","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","18","76769","0.0-3.0-1.7","888","[""videos/fast_med_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","19","77771","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","20","78845","0.0-3.0-1.8","1073","[""videos/med_low_c12_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","21","79848","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","22","81070","0.0-3.0-1.9","1221","[""videos/fast_med_c11_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","23","81823","0.0-3.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","24","83355","0.0-3.0-1.10","1531","[""videos/fast_low_c17_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","25","84106","0.0-3.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","26","85789","0.0-3.0-1.11","1682","[""videos/slow_med_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","27","86792","0.0-3.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","28","87986","0.0-3.0-1.12","1193","[""videos/slow_med_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","29","88488","0.0-3.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","30","89583","0.0-3.0-1.13","1094","[""videos/slow_low_c4_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","31","90336","0.0-3.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","32","92981","0.0-3.0-1.14","2644","[""videos/fast_high_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","33","93733","0.0-3.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","34","97684","0.0-3.0-1.15","3949","[""videos/med_low_c9_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","35","98436","0.0-3.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","36","102680","0.0-3.0-1.16","4243","[""videos/fast_high_c12_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","37","103683","0.0-3.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","38","105352","0.0-3.0-1.17","1668","[""videos/fast_high_c11_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","39","106104","0.0-3.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","40","109265","0.0-3.0-1.18","3159","[""videos/fast_med_c17_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","41","110017","0.0-3.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","42","113867","0.0-3.0-1.19","3849","[""videos/med_high_c8_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","43","117448","0.0-3.0-2.19-0.19","3580","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","44","117949","0.0-3.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","45","121091","0.0-3.0-1.20","3140","[""videos/fast_low_c12_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","46","122093","0.0-3.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","47","123541","0.0-3.0-1.21","1447","[""videos/med_med_c6_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","48","124543","0.0-3.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","49","126471","0.0-3.0-1.22","1927","[""videos/med_high_c10_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","50","127224","0.0-3.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","51","129516","0.0-3.0-1.23","2290","[""videos/med_med_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","52","130267","0.0-3.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","53","139668","0.0-3.0-1.24","9399","[""videos/slow_low_c5_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","54","140420","0.0-3.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","55","141997","0.0-3.0-1.25","1576","[""videos/slow_low_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","56","142749","0.0-3.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","57","144636","0.0-3.0-1.26","1885","[""videos/fast_high_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","58","145137","0.0-3.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","59","148404","0.0-3.0-1.27","3266","[""videos/med_low_c2_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","60","149406","0.0-3.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","61","152129","0.0-3.0-1.28","2721","[""videos/fast_high_c10_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","62","152630","0.0-3.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","63","153811","0.0-3.0-1.29","1179","[""videos/fast_med_c14_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","64","154813","0.0-3.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","65","157947","0.0-3.0-1.30","3132","[""videos/med_high_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","66","158448","0.0-3.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","67","159679","0.0-3.0-1.31","1229","[""videos/slow_low_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","68","160431","0.0-3.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","69","162373","0.0-3.0-1.32","1940","[""videos/slow_high_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","70","162874","0.0-3.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","71","164218","0.0-3.0-1.33","1342","[""videos/fast_low_c5_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","72","164719","0.0-3.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","73","165886","0.0-3.0-1.34","1165","[""videos/med_high_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","74","166887","0.0-3.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","75","168207","0.0-3.0-1.35","1318","[""videos/med_med_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","76","168958","0.0-3.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","77","170223","0.0-3.0-1.36","1264","[""videos/slow_med_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","78","170725","0.0-3.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","79","171953","0.0-3.0-1.37","1226","[""videos/med_high_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","80","172954","0.0-3.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","81","174320","0.0-3.0-1.38","1365","[""videos/slow_low_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","82","175073","0.0-3.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","83","176502","0.0-3.0-1.39","1428","[""videos/slow_low_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","84","182136","0.0-3.0-2.39-0.39","5634","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","85","183138","0.0-3.0-0.40","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","86","184373","0.0-3.0-1.40","1233","[""videos/slow_high_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","87","185373","0.0-3.0-0.41","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","88","186798","0.0-3.0-1.41","1423","[""videos/med_med_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","89","187800","0.0-3.0-0.42","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","90","189075","0.0-3.0-1.42","1274","[""videos/med_med_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","91","190077","0.0-3.0-0.43","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","92","191634","0.0-3.0-1.43","1556","[""videos/med_high_c13_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","93","192136","0.0-3.0-0.44","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","94","193385","0.0-3.0-1.44","1247","[""videos/fast_med_c16_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","95","194137","0.0-3.0-0.45","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","96","196018","0.0-3.0-1.45","1880","[""videos/med_med_c14_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","97","196770","0.0-3.0-0.46","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","98","198537","0.0-3.0-1.46","1766","[""videos/med_med_c11_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","99","199540","0.0-3.0-0.47","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","100","201329","0.0-3.0-1.47","1787","[""videos/med_high_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","101","201831","0.0-3.0-0.48","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
