"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1006","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","204207","0.0-1.0","203196","Welcome to the experiment. Press any key to begin.","arrowright","",""
"","","","","","html-keyboard-response","2","263329","0.0-2.0","59121","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      ","arrowright","",""
"","","","","","html-keyboard-response","3","265584","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","267565","0.0-3.0-1.0","1979","[""videos/fast_low_c16_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","5","268318","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","270584","0.0-3.0-1.1","2265","[""videos/slow_med_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","7","271085","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","272759","0.0-3.0-1.2","1673","[""videos/slow_high_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","9","273761","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","275354","0.0-3.0-1.3","1591","[""videos/fast_low_c12_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","11","276106","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","278064","0.0-3.0-1.4","1956","[""videos/slow_med_c10_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","13","278817","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","14","280700","0.0-3.0-1.5","1882","[""videos/med_low_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","15","281703","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","16","283019","0.0-3.0-1.6","1314","[""videos/slow_low_c5_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","17","283520","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","18","284569","0.0-3.0-1.7","1048","[""videos/slow_med_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","19","285321","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","20","286250","0.0-3.0-1.8","927","[""videos/fast_high_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","21","287001","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","22","288043","0.0-3.0-1.9","1040","[""videos/med_high_c8_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","23","288795","0.0-3.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","24","290049","0.0-3.0-1.10","1253","[""videos/fast_low_c17_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","25","290801","0.0-3.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","26","292137","0.0-3.0-1.11","1335","[""videos/med_med_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","27","292639","0.0-3.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","28","293715","0.0-3.0-1.12","1075","[""videos/fast_med_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","29","294717","0.0-3.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","30","296628","0.0-3.0-1.13","1910","[""videos/fast_high_c10_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","31","297380","0.0-3.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","32","298758","0.0-3.0-1.14","1376","[""videos/fast_high_c11_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","33","299260","0.0-3.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","34","300523","0.0-3.0-1.15","1262","[""videos/fast_med_c16_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","35","301025","0.0-3.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","36","302089","0.0-3.0-1.16","1063","[""videos/med_low_c7_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","37","302841","0.0-3.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","38","303892","0.0-3.0-1.17","1050","[""videos/fast_med_c6_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","39","304393","0.0-3.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","40","305670","0.0-3.0-1.18","1275","[""videos/med_low_c8_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","41","306422","0.0-3.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","42","307668","0.0-3.0-1.19","1245","[""videos/med_high_c10_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","43","310255","0.0-3.0-2.19-0.19","2586","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","44","311006","0.0-3.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","45","312840","0.0-3.0-1.20","1832","[""videos/med_med_c9_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","46","313842","0.0-3.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","47","315118","0.0-3.0-1.21","1275","[""videos/slow_med_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","48","316120","0.0-3.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","49","317661","0.0-3.0-1.22","1539","[""videos/med_low_c16_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","50","318663","0.0-3.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","51","319788","0.0-3.0-1.23","1123","[""videos/med_high_c6_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","52","320540","0.0-3.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","53","321885","0.0-3.0-1.24","1344","[""videos/med_high_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","54","322886","0.0-3.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","55","324479","0.0-3.0-1.25","1591","[""videos/fast_high_c12_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","56","324981","0.0-3.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","57","326427","0.0-3.0-1.26","1445","[""videos/med_high_c7_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","58","327179","0.0-3.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","59","328346","0.0-3.0-1.27","1166","[""videos/slow_low_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","60","329348","0.0-3.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","61","330619","0.0-3.0-1.28","1269","[""videos/med_low_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","62","331121","0.0-3.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","63","332479","0.0-3.0-1.29","1357","[""videos/med_med_c6_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","64","333231","0.0-3.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","65","334448","0.0-3.0-1.30","1217","[""videos/fast_med_c11_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","66","334950","0.0-3.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","67","336633","0.0-3.0-1.31","1681","[""videos/slow_med_c7_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","68","337385","0.0-3.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","69","339173","0.0-3.0-1.32","1787","[""videos/fast_low_c15_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","70","339675","0.0-3.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","71","341077","0.0-3.0-1.33","1401","[""videos/med_high_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","72","342079","0.0-3.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","73","348027","0.0-3.0-1.34","5947","[""videos/med_low_c9_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","74","348780","0.0-3.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","75","350071","0.0-3.0-1.35","1290","[""videos/slow_high_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","76","351073","0.0-3.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","77","352333","0.0-3.0-1.36","1258","[""videos/fast_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","78","352835","0.0-3.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","79","354053","0.0-3.0-1.37","1217","[""videos/slow_med_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","80","354555","0.0-3.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","81","355809","0.0-3.0-1.38","1253","[""videos/slow_high_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","82","356560","0.0-3.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","83","359991","0.0-3.0-1.39","3429","[""videos/med_low_c10_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","84","361547","0.0-3.0-2.39-0.39","1556","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","85","362300","0.0-3.0-0.40","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","86","369235","0.0-3.0-1.40","6934","[""videos/slow_low_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","87","370237","0.0-3.0-0.41","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","88","371459","0.0-3.0-1.41","1220","[""videos/slow_low_c1_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","89","371961","0.0-3.0-0.42","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","90","373146","0.0-3.0-1.42","1184","[""videos/med_med_c11_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","91","374148","0.0-3.0-0.43","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","92","375246","0.0-3.0-1.43","1097","[""videos/med_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","93","375998","0.0-3.0-0.44","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","94","377209","0.0-3.0-1.44","1210","[""videos/slow_low_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","95","378212","0.0-3.0-0.45","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","96","379242","0.0-3.0-1.45","1029","[""videos/fast_med_c14_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","97","380244","0.0-3.0-0.46","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","98","381818","0.0-3.0-1.46","1573","[""videos/med_med_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","99","382320","0.0-3.0-0.47","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","100","383864","0.0-3.0-1.47","1542","[""videos/slow_low_c2_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","101","384365","0.0-3.0-0.48","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","102","386549","0.0-3.0-1.48","2183","[""videos/med_med_c14_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","103","387302","0.0-3.0-0.49","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","104","388804","0.0-3.0-1.49","1500","[""videos/med_high_c13_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","105","389555","0.0-3.0-0.50","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","106","391345","0.0-3.0-1.50","1789","[""videos/slow_med_c5_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","107","392347","0.0-3.0-0.51","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","108","394072","0.0-3.0-1.51","1724","[""videos/fast_med_c15_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","109","395075","0.0-3.0-0.52","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","110","396748","0.0-3.0-1.52","1672","[""videos/fast_high_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","111","397500","0.0-3.0-0.53","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","112","399138","0.0-3.0-1.53","1637","[""videos/fast_low_c14_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","113","400140","0.0-3.0-0.54","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","114","401694","0.0-3.0-1.54","1553","[""videos/med_high_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","115","402196","0.0-3.0-0.55","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","116","403658","0.0-3.0-1.55","1460","[""videos/fast_high_c4_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","117","404158","0.0-3.0-0.56","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","118","406231","0.0-3.0-1.56","2071","[""videos/med_med_c7_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","119","407233","0.0-3.0-0.57","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","120","413345","0.0-3.0-1.57","6110","[""videos/fast_high_c17_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","121","414097","0.0-3.0-0.58","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","122","415565","0.0-3.0-1.58","1467","[""videos/fast_med_c17_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","123","416316","0.0-3.0-0.59","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","124","418107","0.0-3.0-1.59","1790","[""videos/med_med_c8_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","125","419311","0.0-3.0-2.59-0.59","1203","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","126","420063","0.0-3.0-0.60","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","127","421753","0.0-3.0-1.60","1689","[""videos/slow_high_c4_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","128","422755","0.0-3.0-0.61","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","129","424374","0.0-3.0-1.61","1618","[""videos/fast_high_c15_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","130","425126","0.0-3.0-0.62","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","131","426678","0.0-3.0-1.62","1550","[""videos/slow_high_c6_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","132","427430","0.0-3.0-0.63","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","133","428925","0.0-3.0-1.63","1495","[""videos/slow_low_c4_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","134","429427","0.0-3.0-0.64","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","135","430669","0.0-3.0-1.64","1240","[""videos/slow_high_c13_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","136","431687","0.0-4.0","1018","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","137","432440","0.0-5.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","138","434263","0.0-5.0-1.0","1822","[""videos/med_med_c1_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","139","435265","0.0-5.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","140","436863","0.0-5.0-1.1","1596","[""videos/slow_high_c1_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","141","437365","0.0-5.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","142","438782","0.0-5.0-1.2","1416","[""videos/fast_low_c5_purple_mirror.mov""]","f","response","false"
