"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"true","false","[]","[]","[]","preload","0","1226","0.0-0.0","","","","",""
"","","","","","html-keyboard-response","1","5773","0.0-1.0","4546","Welcome to the experiment. Press any key to begin."," ","",""
"","","","","","html-keyboard-response","2","24591","0.0-2.0","18816","
        <p>In this experiment, you will be shown short movies containing two objects. One of the objects will be moving toward the other.</p>
        <p>In these movies, the moving object either collides with the stationary object, or it comes to a stop before reaching the stationary object.
          However, you will be shown a clipped version of the movie that does not reveal the ending.</p> 
        <p>Please watch each clip carefully. Then predict whether or not the two objects will collide later on in the video.</p>
        <p>Press the <b>""F""</b> key for <b>yes</b>, the objects will collide.</p> 
        <p>Press the <b>""J""</b> key for <b>no</b>, the objects will not collide.</p>
        <p>Press any key to start.</p>
      "," ","",""
"","","","","","html-keyboard-response","3","26846","0.0-3.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","4","29437","0.0-3.0-1.0","2563","[""videos/slow_low_c4_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","5","30439","0.0-3.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","6","32425","0.0-3.0-1.1","1985","[""videos/med_low_c7_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","7","33178","0.0-3.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","8","35278","0.0-3.0-1.2","2098","[""videos/slow_med_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","9","36030","0.0-3.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","10","37792","0.0-3.0-1.3","1761","[""videos/fast_low_c12_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","11","38544","0.0-3.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","12","42241","0.0-3.0-1.4","3695","[""videos/med_med_c6_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","13","42993","0.0-3.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","14","45521","0.0-3.0-1.5","2526","[""videos/slow_high_c1_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","15","46273","0.0-3.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","16","49057","0.0-3.0-1.6","2782","[""videos/fast_med_c17_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","17","49559","0.0-3.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","18","54794","0.0-3.0-1.7","5234","[""videos/fast_low_c16_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","19","55796","0.0-3.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","20","57740","0.0-3.0-1.8","1942","[""videos/fast_high_c15_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","21","58241","0.0-3.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","22","61054","0.0-3.0-1.9","2811","[""videos/med_high_c13_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","23","62055","0.0-3.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","24","67234","0.0-3.0-1.10","5177","[""videos/med_med_c14_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","25","67985","0.0-3.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","26","70904","0.0-3.0-1.11","2917","[""videos/fast_high_c12_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","27","71657","0.0-3.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","28","74023","0.0-3.0-1.12","2365","[""videos/fast_high_c10_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","29","74775","0.0-3.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","30","76639","0.0-3.0-1.13","1862","[""videos/med_med_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","31","77140","0.0-3.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","32","79094","0.0-3.0-1.14","1953","[""videos/fast_low_c5_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","33","79596","0.0-3.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","34","81378","0.0-3.0-1.15","1781","[""videos/fast_high_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","35","82381","0.0-3.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","36","84072","0.0-3.0-1.16","1690","[""videos/slow_med_c7_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","37","85073","0.0-3.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","38","88810","0.0-3.0-1.17","3736","[""videos/med_med_c7_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","39","89812","0.0-3.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","40","93202","0.0-3.0-1.18","3388","[""videos/med_low_c10_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","41","94204","0.0-3.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","42","96579","0.0-3.0-1.19","2373","[""videos/slow_med_c3_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","43","99040","0.0-3.0-2.19-0.19","2461","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","44","99542","0.0-3.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","45","102032","0.0-3.0-1.20","2489","[""videos/slow_low_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","46","103034","0.0-3.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","47","104840","0.0-3.0-1.21","1805","[""videos/med_low_c5_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","48","105843","0.0-3.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","49","107581","0.0-3.0-1.22","1737","[""videos/slow_med_c2_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","50","108083","0.0-3.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","51","109655","0.0-3.0-1.23","1571","[""videos/med_low_c9_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","52","110157","0.0-3.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","53","111746","0.0-3.0-1.24","1587","[""videos/fast_high_c17_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","54","112247","0.0-3.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","55","115541","0.0-3.0-1.25","3293","[""videos/med_low_c12_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","56","116043","0.0-3.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","57","118158","0.0-3.0-1.26","2113","[""videos/med_high_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","58","118909","0.0-3.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","59","126688","0.0-3.0-1.27","7777","[""videos/fast_med_c14_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","60","127690","0.0-3.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","61","129275","0.0-3.0-1.28","1583","[""videos/slow_med_c5_white.mov""]","j","response","false"
